price,stripe_fee,net_revenue,scenario,dormant_cts,dormant_contrib,dormant_gm_list,dormant_gm_net,dormant_headroom,light_cts,light_contrib,light_gm_list,light_gm_net,light_headroom,typical_cts,typical_contrib,typical_gm_list,typical_gm_net,typical_headroom,heavy_cts,heavy_contrib,heavy_gm_list,heavy_gm_net,heavy_headroom,abuse_cts,abuse_contrib,abuse_gm_list,abuse_gm_net,abuse_headroom
29,1.34,27.66,current,9.55,18.11,0.624,0.655,11.89,17.54,10.11,0.349,0.366,-0.01,32.37,-4.72,-0.163,-0.171,-22.1,68.52,-40.86,-1.409,-1.477,-75.82,130.27,-102.61,-3.538,-3.71,-167.24
29,1.34,27.66,production,9.55,18.11,0.624,0.655,11.89,19.2,8.45,0.291,0.306,-2.5,39.7,-12.05,-0.415,-0.436,-33.1,89.5,-61.84,-2.132,-2.236,-107.29,193.87,-166.21,-5.731,-6.01,-262.64
29,1.34,27.66,production_optimized,7.79,19.86,0.685,0.718,14.51,14.97,12.68,0.437,0.459,3.85,31.97,-4.32,-0.149,-0.156,-21.5,74.69,-47.03,-1.622,-1.701,-85.07,169.62,-141.96,-4.895,-5.133,-226.27
39,1.7,37.3,current,9.55,27.75,0.712,0.744,21.53,17.54,19.75,0.506,0.53,9.63,32.37,4.92,0.126,0.132,-12.46,68.52,-31.22,-0.801,-0.837,-66.18,130.27,-92.97,-2.384,-2.493,-157.6
39,1.7,37.3,production,9.55,27.75,0.712,0.744,21.53,19.2,18.09,0.464,0.485,7.14,39.7,-2.41,-0.062,-0.065,-23.46,89.5,-52.2,-1.338,-1.4,-97.65,193.87,-156.57,-4.015,-4.198,-253
39,1.7,37.3,production_optimized,7.79,29.5,0.756,0.791,24.15,14.97,22.32,0.572,0.599,13.49,31.97,5.32,0.136,0.143,-11.86,74.69,-37.39,-0.959,-1.003,-75.43,169.62,-132.32,-3.393,-3.548,-216.63
40,1.74,38.26,current,9.55,28.71,0.718,0.75,22.49,17.54,20.72,0.518,0.541,10.6,32.37,5.89,0.147,0.154,-11.5,68.52,-30.26,-0.756,-0.791,-65.22,130.27,-92.01,-2.3,-2.405,-156.64
40,1.74,38.26,production,9.55,28.71,0.718,0.75,22.49,19.2,19.06,0.476,0.498,8.11,39.7,-1.44,-0.036,-0.038,-22.49,89.5,-51.24,-1.281,-1.339,-96.69,193.87,-155.61,-3.89,-4.067,-252.04
40,1.74,38.26,production_optimized,7.79,30.47,0.762,0.796,25.12,14.97,23.29,0.582,0.609,14.45,31.97,6.29,0.157,0.164,-10.9,74.69,-36.43,-0.911,-0.952,-74.47,169.62,-131.36,-3.284,-3.433,-215.67
49,2.06,46.94,current,9.55,37.39,0.763,0.797,31.17,17.54,29.39,0.6,0.626,19.27,32.37,14.56,0.297,0.31,-2.82,68.52,-21.58,-0.44,-0.46,-56.54,130.27,-83.33,-1.701,-1.775,-147.96
